Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Music S.T.A.R.T!!,7.21,Music,Music,1,27-Nov-13,Unknown,Lantis,Unknown,Sunrise,Other,5 min.,PG-13 - Teens 13 or older,2752,4766,10740,16,115,9088,61,95
Kuro no Su: Chronus,6.84,Psychological,Movie,1,1-Mar-14,Unknown,Exa International,Unknown,Studio 4°C,Original,25 min.,PG-13 - Teens 13 or older,4271,3968,16823,9,292,10947,151,72
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.12,"Action, Adventure, Supernatural, Drama, Shounen",TV,24,"Apr 5, 2014 to Sep 13, 2014",Spring 2014,"Yomiko Advertising, Warner Bros. Japan, Kamikaze Douga, KlockWorx, Shueisha",VIZ Media,David Production,Manga,24 min. per ep.,R - 17+ (violence & profanity),390,136,694803,14056,35072,587864,11920,6832
Harmonie,7.31,"Slice of Life, Psychological, Drama, School",Movie,1,1-Mar-14,Unknown,Ultra Super Pictures,Unknown,Studio Rikka,Original,25 min.,PG-13 - Teens 13 or older,2306,2325,47480,135,900,31291,391,173
Ookii 1 Nensei to Chiisana 2 Nensei,6.38,Adventure,Movie,1,1-Mar-14,Unknown,Unknown,Unknown,A-1 Pictures,Original,25 min.,PG - Children,6508,7021,4091,0,81,2601,51,59
Kyoukai no Kanata: Mini Gekijou,6.82,"Slice of Life, Supernatural",Special,7,"Jan 8, 2014 to Jul 2, 2014",Unknown,"Lantis, Pony Canyon",Unknown,Kyoto Animation,Original,6 min. per ep.,PG-13 - Teens 13 or older,4352,2860,32397,36,1091,18068,823,594
6♥Princess,5.56,"Magic, Music",Music,1,4-Oct-13,Unknown,Poncotan,Unknown,Unknown,Other,3 min.,G - All Ages,9522,7283,3723,4,63,2772,25,72
Diabolik Lovers Recap,5.39,"Shoujo, Vampire",Special,1,28-Oct-13,Unknown,"Frontier Works, Idea Factory, Sentai Filmworks, Showgate",Unknown,"Production I.G, Zexcs",Visual novel,15 min.,PG-13 - Teens 13 or older,9958,3633,20424,65,409,16075,171,250
Galo Sengen,6.44,"Music, Comedy",Music,1,9-Jan-11,Unknown,Unknown,Unknown,Unknown,Unknown,3 min.,PG-13 - Teens 13 or older,6239,9730,1404,13,15,1215,7,23
Oneechan ga Kita,6.37,"Comedy, Slice of Life",TV,12,"Jan 9, 2014 to Mar 27, 2014",Winter 2014,"Takeshobo, Studio CHANT",Unknown,C2C,4-koma manga,3 min. per ep.,PG-13 - Teens 13 or older,6529,1538,89350,80,3654,63368,1550,2766
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",7.23,"Harem, Comedy, Romance, School",OVA,1,20-May-14,Unknown,"DAX Production, Studio Jack",Sentai Filmworks,Diomedéa,Light novel,24 min.,R - 17+ (violence & profanity),2626,1968,61970,47,1111,48759,426,247
Iron Kid,6.92,"Action, Adventure, Comedy, Sci-Fi",TV,26,"Apr 6, 2006 to Sep 28, 2006",Spring 2006,Unknown,Manga Entertainment,Daewon Media,Unknown,24 min. per ep.,G - All Ages,3948,7525,3384,64,104,2648,68,153
DPR Special Movie,5.52,"Slice of Life, Space",Special,1,17-Oct-13,Unknown,Unknown,Unknown,White Fox,Original,6 min.,G - All Ages,9628,10239,1103,1,21,768,10,25
Peeping Life: YouTuber-kun,4.9,Comedy,ONA,4,"Aug 8, 2013 to Aug 29, 2013",Unknown,CoMix Wave Films,Unknown,Unknown,Original,5 min. per ep.,G - All Ages,10669,12040,516,1,21,246,10,62
